,nct_id,official_title,summary,criteria,conditions,Erectile,Erectile_summary,Erectile_quote,Review,
11,NCT01122264,Impact of Tadalafil (LY450190) Once a Day or Tadalafil on Demand Compared to Sildenafil Citrate on Demand on Treatment Discontinuation in Patients With Erectile Dysfunction Who Are naïve to PDE5 Inhibitors,"The purpose of this study is to investigate if treatment in erectile dysfunction with a long-acting drug (Tadalafil) taken once a day or taken as needed results in a longer treatment adherence and better long term outcomes (over 24 weeks), compared with a short-acting drug (Sildenafil Citrate) taken as needed.","Inclusion Criteria:~History of Erectile Dysfunction (ED) of at least 3 months duration.~Anticipate having the same adult female sexual partner during the study.~Agree not to use any other treatment for ED and to participate in recording responses to questionnaires and other instruments used in this study.~Exclusion Criteria:~Previous or current treatment with tadalafil or any other phosphodiesterase type 5 (PDE5) inhibitor.~ED caused by other primary sexual disorders, history of radical prostatectomy or other pelvic surgery with subsequent failure to achieve any erection, or history of penile implant or clinically significant penile deformity.~ED caused by untreated or inadequately treated endocrine disease.~Current treatment with doxazosin, nitrates, cancer chemotherapy, or anti-androgens.~Severe renal or hepatic impairment, history of malignant hypertension.~Presence or history of specific heart conditions.",erectile dysfunction,1,"The trial is focused on comparing the effectiveness of different treatments specifically for erectile dysfunction, aiming to determine which regimen results in better adherence and outcomes for patients with this condition.","The purpose of this study is to investigate if treatment in erectile dysfunction with a long-acting drug (Tadalafil) taken once a day or taken as needed results in a longer treatment adherence and better long term outcomes (over 24 weeks), compared with a short-acting drug (Sildenafil Citrate) taken as needed.",1,
13,NCT00661297,"A Randomised, Double-blind, Parallel-group, Placebo-controlled Study Evaluating the Efficacy, Safety, and Reliability of 10mg Vardenafil Administered for 12 Weeks Compared to Placebo in Subjects With Erectile Dysfunction",Study to investigate the efficacy and safety of Vardenafil,"Inclusion Criteria:~Heterosexual males~>/= 18 years old with ED for more than six months~Subjects also needed a positive first-time response to a single dose of 10mg vardenafil to be eligible for randomisation~Exclusion Criteria:~Primary hypoactive sexual desire~History of myocardial infarction, stroke or life-threatening arrhythmia within prior 6 month~Nitrate therapy~Other exclusion criteria apply according to the Summary of Product Characteristics",erectile dysfunction,1,"The trial is focused on evaluating the efficacy, safety, and reliability of Vardenafil specifically in subjects with erectile dysfunction (ED). The inclusion criteria explicitly mention that participants must have ED for more than six months.",Study to investigate the efficacy and safety of Vardenafil Male 18 Years N/A Inclusion Criteria:~Heterosexual males~>/= 18 years old with ED for more than six months~Subjects also needed a positive first-time response to a single dose of 10mg vardenafil to be eligible for randomisation,1,
14,NCT00658177,"A Randomized, Double-blind, Parallel-group, Placebo-controlled Study Evaluating the Efficacy and Safety of Vardenafil Administered for 12 Weeks in a Flexible-dose Regimen Compared to Placebo in Male Erectile Dysfunction Subjects",Study to investigate the efficacy and safety of Vardenafil,"Inclusion Criteria:~Men >/= 18 years of age, with 6 months or longer diagnosis of ED as defined by NIH Consensus statement,~History of unresponsiveness to sildenafil~Stable sexual relationship for > 6 month.~Exclusion Criteria:~Primary hypoactive sexual desire~History of myocardial infarction, stroke or life-threatening arrhythmia within prior 6 month~Nitrate therapy~Other exclusion criteria apply according to the US Product Information",erectile dysfunction,1,"The trial is focused on investigating the efficacy and safety of Vardenafil specifically for male erectile dysfunction (ED), as indicated by the inclusion criteria requiring a diagnosis of ED.","Study to investigate the efficacy and safety of Vardenafil Male 18 Years N/A Inclusion Criteria:~Men >/= 18 years of age, with 6 months or longer diagnosis of ED as defined by NIH Consensus statement",1,
15,NCT00668005,"A Randomized, Double-blind, Parallel-group, Plac-controlled Study Evaluating the Efficacy and Safety of Vardenafil Administration for 12 Weeks in a Flexible-dose Regimen Compared to Placebo in Men With Arterial Hypertension and Erectile Dysfunction",Assess efficacy of Vardenafil in patients erectile dysfunction and high blood pressure,"Inclusion Criteria:~Men >/= 18 years of age, with 6 months or longer diagnosis of ED as defined by NIH Consensus statement,~Arterial hypertension adequately controlled~Stable sexual relationship for > 6 month~Exclusion Criteria:~Primary hypoactive sexual desire~History of myocardial infarction, stroke or life-threatening arrhythmia within prior 6 month~Nitrate therapy",erectile dysfunction,1,"The trial is focused on evaluating the efficacy of Vardenafil specifically for patients with erectile dysfunction and high blood pressure, indicating that erectile dysfunction is a primary focus of the study.",Assess efficacy of Vardenafil in patients erectile dysfunction and high blood pressure,1,
16,NCT01220206,"A Randomized, Placebo-Controlled, Double-Blind, Parallel Design Trial to Evaluate the Safety and Efficacy of POM Wonderful Pomegranate Extract Capsules In Male Subjects With Moderate to Severe Erectile Dysfunction",POMx can be used as a treatment for erectile dysfunction.,"Inclusion Criteria:~Male 21 to 70 years old~Erectile Function domain score of 10-19 on the International Index of Erectile Function (IIEF)~In a stable, monogamous relationship with a consenting female partner and willing to attempt vaginal sexual intercourse on at least one occasion per week on average during each study period~History of ED (clinically defined as the inability to attain and maintain an erection of the penis sufficient to permit satisfactory sexual intercourse) of at least 3 months duration~Treated previously with a PDE-5 inhibitor with a satisfactory response, as defined by the patient.~Signed informed consent~Exclusion Criteria:~-The presence of any of the following excludes a subject from study enrollment: ED caused by untreated endocrine disease, i.e., hypopituitarism, hypothyroidism, hypogonadism~A diagnosis of situational psychogenic ED~Significant penile pathology, including but not limited to curvature, fibrosis, sexually transmitted disease, and penile implant~Clinically significant hepatic, renal, neurological disease, diabetes mellitus, spinal cord injury, significant coronary heart disease, significant neurological disease or hepatitis B and/or C~History of prostate cancer or prostate surgery other than a transurethral resection of the prostate~History of alcoholism within the previous 2 years~Current consumer of three or more units of alcohol per day (1 unit is equivalent to 1 glass of wine, 1 pint of beer, or 1 shot of hard liquor)~Taking ED therapy (prescription medications, over-the-counter medications, herbal preparations or medical devices) after the screening visit~Participation in another study with an investigational drug or device during the 30 days prior to study entry~Has a condition interfering with his ability to provide informed consent or comply with study instructions",erectile dysfunction,1,The trial is specifically focused on evaluating the safety and efficacy of POM Wonderful Pomegranate Extract Capsules in male subjects with moderate to severe erectile dysfunction.,"A Randomized, Placebo-Controlled, Double-Blind, Parallel Design Trial to Evaluate the Safety and Efficacy of POM Wonderful Pomegranate Extract Capsules In Male Subjects With Moderate to Severe Erectile Dysfunction",1,
19,NCT01037244,"Randomized, Placebo-controlled, Double-Blind, Parallel Design, Phase 3 Study to Assess the Safety and Efficacy of Udenafil Tablets in Male Subjects With Erectile Dysfunction","Randomized, placebo-controlled, double-blind, parallel design, Phase 3 study to evaluate the safety and efficacy of udenafil, an orally administered, potent and selective inhibitor of PDE-5 versus placebo for the treatment of subjects with erectile dysfunction (ED).","Inclusion Criteria:~Male, at least 19 years of age~Stable monogamous relationship for at least 6 months with a consenting female partner who is at least 19 years of age, vaginal intercourse is a required study activity~History of ED (clinically defined as the inability to attain and maintain an erection of the penis sufficient to permit satisfactory sexual intercourse) of at least 3 months duration~Partner is not pregnant or lactating~Exclusion Criteria:~History of new-onset symptomatic coronary artery disease within the last 3 months or a history of myocardial infarction or cardiac surgical procedure within six months~Cardiac arrhythmias requiring antiarrhythmic treatment~Symptomatic congestive heart failure~Taking nitrate medication in any form~Uncontrolled diabetes (HbA1c ≥ 13%)~Hypersensitivity to phosphodiesterase type 5 (PDE-5) inhibitors such as Viagra®, Cialis® or Levitra®~Previously failed to respond to PDE-5 inhibitors such as Viagra®, Cialis® or Levitra®",erectile dysfunction,1,The trial is specifically focused on evaluating the safety and efficacy of udenafil for the treatment of erectile dysfunction in male subjects.,"Randomized, placebo-controlled, double-blind, parallel design, Phase 3 study to evaluate the safety and efficacy of udenafil, an orally administered, potent and selective inhibitor of PDE-5 versus placebo for the treatment of subjects with erectile dysfunction (ED).",1,
20,NCT01616485,"A Double-blind, Randomized, Crossover Evaluation of the Hemodynamic Response to Sublingual Glyceryl Trinitrate in Patients Receiving TA-1790, Sildenafil, and Placebo","The objective of this study is to evaluate the hemodynamic response to a sublingual dose of glyceryl trinitrate in subjects receiving oral TA-1790, sildenafil citrate, and placebo.",Inclusion Criteria:~Provide written informed consent~Willing to comply with all study requirements and clinic schedules~Male between 30 to 60 years of age~Non-smoker~No history of alcohol abuse~Normal screening laboratory values~Exclusion Criteria:~Allergy or hypersensitive to PDE5 inhibitors~Evidence of clinically significant disease~Supine systolic/diastolic blood pressure level~History of cardiovascular disease~Previously participated in TA-1790 within the past 30 days,erectile dysfunction,1,"The trial is focused on evaluating the hemodynamic response to sublingual glyceryl trinitrate in subjects receiving TA-1790 and sildenafil citrate, which are drugs used for treating erectile dysfunction.",erectile dysfunction,1,
21,NCT00644956,"A Randomized, Open-Label, Crossover, Multicenter, Single Dose Comparator Study Evaluating Onset Of Penile Rigidity In Men With Erectile Dysfunction Who Are Treated With Viagra (Sildenafil Citrate) And Cialis (Tadalafil)","The objective of this study was to determine and compare the minimum time required to achieve penile rigidity greater than or equal to 60% at the base of the penis that is sustained for at least 3 minutes measured by Rigiscan®, following visual sexual stimulation post dose of 100 mg sildenafil citrate and 20 mg tadalafil in men with erectile dysfunction (ED).","Inclusion Criteria:~Included subjects were 18 years of age or older~A clinical diagnosis of erectile dysfunction~Known responders to either 100 mg sildenafil or 20 mg tadalafil.~Exclusion Criteria:~Excluded were subjects who were unable to achieve penile rigidity of greater than or equal to 20% at the base of the penis that was sustained for at least 3 minutes~Subjects who are able to achieve penile rigidity of greater than or equal to 60% at the base of the penis that was sustained for for at least 2 minutes or subjects who are able to achieve penile rigidity of greater than or equal to 80% at the base of the penis that is sustained for for at least 1 minute measured by Rigiscan®, at screening with no therapy, within 60 minutes following visual sexual stimulation~Subjects currently using any commercially available treatments for erectile dysfunction~Subjects on nitrates.",erectile dysfunction,1,The study is focused on evaluating the onset of penile rigidity in men with erectile dysfunction who are treated with Viagra (sildenafil citrate) and Cialis (tadalafil). The primary objective is directly related to the treatment of erectile dysfunction.,"The objective of this study was to determine and compare the minimum time required to achieve penile rigidity greater than or equal to 60% at the base of the penis that is sustained for at least 3 minutes measured by Rigiscan®, following visual sexual stimulation post dose of 100 mg sildenafil citrate and 20 mg tadalafil in men with erectile dysfunction (ED).",1,
24,NCT00656188,"A Randomized, Double-blind, Parallel-group, Placebo-controlled Study Evaluating the Efficacy and Safety of Vardenafil Administered for 12 Weeks in a Flexible-dose Regimen Compared to Placebo in Male Erectile Dysfunction Subjects",This study tested the hypothesis that vardenafil was both clinically effective and well-tolerated compared to placebo in men diagnosed as being unresponsive to sildenafil.,"Inclusion Criteria:~Men >/= 18 years of age, with 6 months or longer diagnosis of ED as defined by NIH Consensus statement,~History of unresponsiveness to sildenafil~Stable sexual relationship for > 6 month~Exclusion Criteria:~Primary hypoactive sexual desire~History of myocardial infarction, stroke or life-threatening arrhythmia within prior 6 month~Nitrate therapy",erectile dysfunction,1,"The trial is focused on evaluating the efficacy and safety of vardenafil specifically for male erectile dysfunction subjects, particularly those unresponsive to sildenafil.",This study tested the hypothesis that vardenafil was both clinically effective and well-tolerated compared to placebo in men diagnosed as being unresponsive to sildenafil.,1,
25,NCT00663130,"A Randomised, Double-blind, Double-dummy, Parallel-group, Active-controlled Study Evaluating the Efficacy of Vardenafil Versus Tadalafil When Intercourse is Attempted Within 45 Minutes of Administration in Subjects With Erectile Dysfunction","Evaluating the efficacy of 10mg vardenafil versus 10mg tadalafil in the first 45 minutes post-dosing, in an as-required regimen for 4 weeks in subjects with mild/moderate to severe ED",Inclusion Criteria:~Age between 18 and 64 years~Heterosexual males~Erectile dysfunction for more than 6 months~Exclusion Criteria:~Penile anatomical abnormalities~Spinal cord injury~History of surgical prostatectomy,erectile dysfunction,1,The trial is focused on evaluating the efficacy of vardenafil versus tadalafil specifically for subjects with erectile dysfunction (ED). The study aims to assess the effectiveness of these drugs in treating ED within a specific timeframe post-dosing.,"Evaluating the efficacy of 10mg vardenafil versus 10mg tadalafil in the first 45 minutes post-dosing, in an as-required regimen for 4 weeks in subjects with mild/moderate to severe ED",1,
28,NCT00631969,"Pivotal Phase III Trial to Investigate the Efficacy and Safety of an Orodispersible Tablet Vardenafil Versus Placebo in the Treatment of Men With Erectile Dysfunction (ED) - a Fixed-dose, Double-blind, Randomized Multi-center Trial - POTENT I","This study investigates the safety and efficacy of a new dosage form of Vardenafil, an orodispersible tablet (ODT), and compares it to the safety and efficacy of a placebo (inactive) tablet in the treatment of erectile dysfunction. After a 4-week unmedicated phase, patients will receive Vardenafil ODT or matching placebo for 12 weeks. Safety will be determined by laboratory and other evaluations. Efficacy will be determined by the results of different questionnaires and the patient diary that will be used.","Inclusion Criteria:~Males 18 years-of-age or older~Stable, heterosexual relationship for at least 6 months~A history of erectile dysfunction (ED) for at least 6 months~Exclusion Criteria:~Any underlying cardiovascular condition, including unstable angina pectoris~History of myocardial infarction, stroke or life-threatening arrhythmia within 6 months prior to visit 1~Uncontrolled atrial fibrillation / flutter at screening~History of surgical prostatectomy for prostate cancer~Hereditary degenerative retinal disorders~History of loss of vision because of Non-arteritic anterior ischemic optic neuropathy (NAION), temporary or permanent loss of vision~Presence of penile anatomical abnormalities~Subjects who have been confirmed with phenylketonuria (PKU)~Spinal cord injury~Resting or postural hypotension or hypertension~Subjects who are taking nitrates or nitric oxide donors, androgens, anti-androgens, alpha- blockers, medication known to prolong QT interval, Human immunodeficiency virus (HIV) protease inhibitors, itraconazole or ketoconazole, an clarithromycin and erythromycin~Use of any treatment for ED within 7 days of Visit 1~History of congenital QT prolongation~History of syncope within the last 6 months prior to entry into the study",erectile dysfunction,1,The trial is focused on investigating the safety and efficacy of Vardenafil ODT specifically for the treatment of erectile dysfunction.,"This study investigates the safety and efficacy of a new dosage form of Vardenafil, an orodispersible tablet (ODT), and compares it to the safety and efficacy of a placebo (inactive) tablet in the treatment of erectile dysfunction.",1,
