"","Combined"
"469","NCT00298571_NA_The use of .5% Bupivacaine with epinephrine at the time of skin closure in cesarean deliveries will decrease post-op pain._Female_N/A_N/A_Conditions:  pain, postoperative_Inclusion Criteria:~Pregnant Women with scheduled cesarean delivery~able to perform informed consent~Exclusion Criteria:~Labor~chronic pain~allergic to local anesthetic~unable to perform informed consent"
"470","NCT00678080_A Randomized, Controlled Trial of Metformin Versus Insulin in Women With Type 2 Diabetes Mellitus During Pregnancy in a Population With Severe Health Disparities_Pregnant women with type 2 diabetes mellitus (T2DM) are at increased risk for miscarriages, birth defects, large infants, and stillbirths. Maintaining blood sugars in the normal range decreases these pregnancy complications. We hypothesize that metformin will achieve similar levels of blood sugar control compared to insulin. In doing so, metformin will prevent the increased risk of pregnancy complications associated with T2DM in pregnancy. We propose a pilot study of a randomized, controlled trial of metformin versus insulin in the treatment of T2DM during pregnancy._Female_18 Years_52 Years_Conditions:  pregnancy complications_Inclusion Criteria:~The onset of T2DM for less than 10 years prior to the onset of pregnancy by patient history~Treatment with diet or oral hypoglycemic agents prior to pregnancy.~Pregnancies less than 20 weeks of pregnancy. This gestational age was chosen to include those women who initiated prenatal care in the second trimester, but still have the ability to improve their hemoglobin A1C (primary outcome) with medical therapy prior to delivery.~Newly diagnosed diabetes in the first 20 weeks of pregnancy. These women likely have had diabetes prior to the onset of pregnancy. They do not qualify for the diagnosis of gestational diabetes which is typically made after 20 weeks of pregnancy. Diagnosis will be made based on an elevated fasting blood glucose greater than 105 mg/dL, a 50 gram glucola result greater than 200 mg/dL or an abnormal 3 hour glucola test prior to 20 weeks of pregnancy. An abnormal 3-hour glucola test is defined as 2 out of 4 abnormal values.~Hemoglobin A1C <9%~Exclusion Criteria:~Gestational age greater than 20 weeks~Multiple gestations (twins or more gestations)~Type 1 diabetes by patient history~Known fetal chromosomal or structural defects~Contraindications to the use of metformin including renal disease, liver disease, prior myocardial infarction or sepsis.~Those with a hemoglobin A1C greater than 9%.~On insulin at the start of pregnancy"
"471","NCT03305575_A Randomized Controlled Clinical Trial of Intrathecal Chloroprocaine vs. Bupivacaine for Cervical Cerclage_This study aims to compare the effect of chloroprocaine vs. bupivacaine on duration of motor block and duration until meeting discharge criteria in patients undergoing cervical cerclage. The hypothesis is that chloroprocaine will result in faster resolution of motor block._Female_18 Years_45 Years_Conditions:  cervical incompetence_Inclusion Criteria:~ASA classification II or III females~Age: 18-45 years old~BMI ≤ 50 kg/m2~Singleton pregnancy~Simple prophylactic cervical cerclage~Planning neuraxial anesthesia~Exclusion Criteria:~Abdominal and complex cervical cerclage (e.g. bulging bag)~Contraindication to neuraxial anesthesia~Known hypersensitivity to chloroprocaine (a.k.a. Ester allergy), paraaminobenzoic acid (PABA) or bupivacaine (a.k.a. Amide allergy)~Pseudocholinesterase deficiency~Concomitant use with ergot-type oxytocic drugs"
"472","NCT01837680_Insulin Detemir Versus Insulin NPH: A Randomized Prospective Study Comparing Glycemic Control in Pregnant Women With Diabetes_The aim of this study is to compare glycemic control in pregnant women treated with insulin Detemir and pregnant women treated with NPH insulin. These women are diagnosed with gestational diabetes (GDM) in the current pregnancy or have a preexisting diagnosis of type 2 diabetes (T2DM) at the onset of pregnancy. Our hypothesis is that there is no difference between these two treatment modalities in terms of glycemic control in diabetes._Female_18 Years_N/A_Conditions:  diabetes, gestational~diabetes, type 2_Inclusion criteria:~All pregnant women with a viable singleton or multiple gestation at ≤34 weeks with gestational diabetes diagnosed in their current pregnancy requiring medical therapy. Early diagnosis GDM patients will also be included; which is defined as a diagnosis made prior to 24 weeks.~Women with known preexisting type 2 diabetes that are in need of medical therapy.~Exclusion criteria:~Patients <18 years of age~a diagnosis of GDM outside of the gestational age stated above~known allergy/prior adverse reaction to insulin NPH or insulin detemir.~type 1 diabetes"
"473","NCT04000438_Randomized, Placebo-Controlled, Proof of Concept Study to Evaluate the Efficacy on Cervical Ripening, Safety, Tolerability and Dose Response of SC Administered Tafoxiparin in Term Pregnant, Nulliparous Women With an Unripe Cervix Undergoing Labor Induction_The study is designed as a randomized, Double-Blind, Placebo-Controlled, Parallel-Group Proof of Concept Study (section A) with a conditional dose finding follow up (Section B) to Evaluate the Efficacy on Cervical ripening, Safety, Tolerability and dose response of Subcutaneously Administered Tafoxiparin in Term Pregnant, Nulliparous Women with an unripe cervix undergoing Labor Induction. If the efficacy and safety profiles of Section A are conclusive in favor of tafoxiparin, the study will continue by adding two additional tafoxiparin dose groups in Section B._Female_18 Years_64 Years_Conditions:  labor onset and length abnormalities_Inclusion Criteria:~Pregnant women of ≥18 and ≤ 64 years of age~Nulliparous~Unripe cervix with ≤ 4points according to Bishop/Westin score (0-10 points scale)~Planned for labor induction after 4-7 days of IMP treatment~Examples of diagnosis as a basis for induction:~Post term pregnancy (40-41 weeks of gestation)~Gestational diabetes~Diabetes type 1 - well controlled~Pre-eclampsia (BP diastolic <100, systolic <140)~Hypertension - well controlled~Hepatosis (without clinically significantly elevated serum bile acids)~Maternal age ≥ 40 years~Humanitarian-psycho social reasons~Oligohydramnios~Gestational age > 37 weeks confirmed by ultrasound before 21 weeks of gestation~Singleton pregnancy~Subject is, as per the discretion of the Investigator, able to comply with the requirements of the protocol including an ability to be present at all required controls~Subject can understand and sign an informed form~Provision of written informed consent~Exclusion Criteria:~Subjects who are unable to understand the written and verbal instructions in local language~Breech presentation and other abnormal fetal presentations~Previous uterine scar~Spontaneous rupture of membranes at inclusion~Pathologic CTG at inclusion~Fetal estimated weight > 2SD of normal fetal estimated weight earlier diagnosed by ultrasound and documented in patient record~Mother's BMI > 35 at early pregnancy~Known IUGR defined as ≤ 2SD of normal~Presence of eclampsia~Severe Pre-eclampsia~HELLP syndrome (hemolysis, elevated liver enzymes, and low platelets)~Clinically significant vaginal bleeding in need of hospitalization in the third trimester~Placenta previa~Previously known coagulation disorders (Leiden, heterozygote - OK)~Current use of any drugs that interfere with hemostasis (including heparin /LMWH, direct oral anti-coagulant medication, non-steroidal anti-inflammatory drugs (NSAID) compounds and vitamin K antagonists.)~Current use of acetylsalicylic acid (ASA) compounds or use within the week preceding inclusion~Diagnosed with HIV or Acute hepatitis~Known history of allergy to standard heparin and/or LMWH heparin~History of heparin-induced thrombocytopenia~Current drug or alcohol abuse which in the opinion of the Investigator should preclude participation in the study.~Current participation in other interventional medicinal treatment studies~Subject has a fear of needles which is believed by the Investigator to affect study medication compliance"
"474","NCT00671060_Misoprostol for Treatment of Fetal Death at 14-28 Weeks of Pregnancy, Inclusive, Not Accompanied by Complete Expulsion of the Contents of the Uterus_The purpose of the proposed study is to test - in a randomized, blinded trial - two different doses of the prostaglandin E1 analogue misoprostol administered buccally as a treatment for fetal death at 14 - 28 weeks, inclusive, of pregnancy. At such an advanced stage of pregnancy, the nonviable fetus is often not spontaneously evacuated, and yet timely evacuation is vital in order to avoid the possibility of, among other things, potentially life-threatening maternal coagulopathies. Current approaches to uterine evacuation in these cases include dilatation and evacuation (D&E) surgery (in less advanced pregnancies) and labor induction with a variety of products. Misoprostol has been demonstrated to be as effective as, or more effective than, either oxytocin or prostaglandin E2 analogues for this indication in a number of small, non-FDA-approved trials which have been published in the peer-reviewed literature. In the absence of more formal study of this treatment, however, dosages are not standardized, pathways of administration vary, and other uncertainties linger. The purpose of the protocol proposed herein is to formally establish, via a randomized, double-blinded study, the safety and effectiveness of misoprostol for this indication, and to compare the value of two distinct doses, so that providers may henceforward proceed with greater authority and confidence._Female_N/A_N/A_Conditions:  intrauterine fetal demise_Inclusion Criteria:~Women presents with spontaneous fetal death~Gestational age of fetus between 14-28 weeks~Exclusion Criteria:~Transmural uterine scar;~Allergies or other contraindications to use of misoprostol;~Placental abruption with active hemorrhage;~Complete placenta previa;~Extreme uterine structural anomalies;~Or other contraindications to vaginal delivery of the fetus;~Presentation in active labor (moderate to severe contractions every 10 minutes); or~Four or more previous deliveries"
"475","NCT02202577_Chlorhexidine-Alcohol Versus Povidone-Iodine for Surgical Site Antisepsis Prior to Cesarean Delivery_Primary Hypothesis: chlorhexidine gluconate alcohol skin antiseptic preparation is superior to povidone-iodine scrub and paint skin antiseptic preparation for prevention of cesarean related surgical site infection._Female_18 Years_65 Years_Conditions:  surgical site infection_Inclusion Criteria:~cesarean delivery~age 18-65~ability to consent in English or Spanish~Exclusion Criteria:~inability or unwillingness to consent to study participation in English or Spanish~current incarceration~pre-operative diagnosis of chorioamnionitis~perceived inability to complete follow up for data collection~any prior known allergy or adverse reaction to either study preparation"
"476","NCT02225353_A Randomized, Open-Label, Controlled, Multi-Center Study on the Efficacy of a Sustained Release Progesterone Cerclage Cervical Pessary at Doses of 6.3 g or 7.7 g for the Prevention of Preterm Birth and a Maximum Duration of 20 Weeks._Assess the efficacy of 2 Cervical Pessaries containing 6.3 g and 7.7 g micronized progesterone for the prevention of preterm delivery, established through spontaneous birth before gestation weeks 32 (31 weeks and 6 days) and 34 (33 weeks and 6 days), when the pessary is inserted during weeks 16th and 24th and removed at 36 weeks and 6 days in pregnant women at high risk of premature birth._Female_18 Years_N/A_Conditions:  preterm birth_Inclusion Criteria:~Women with a single pregnancy and a cervical length of 10 mm - 25 mm between 16 and 24 weeks of gestation, without any previous factors.~Women with a single pregnancy with 10 mm or more cervical length between 16 and 24 weeks of gestation, and pre-existing risk factors risk factors for preterm birth:~Previous preterm birth before week 35.~Previous rupture of membranes before week 35~Exclusion Criteria:~Pregnancies with:~Major fetal abnormalities, such as lethal malformations or malformations requiring pre- or post-natal surgery; and fetal death before inclusion into the study.~History of rupture of membranes or prophylactic cerclage before study entry.~Cervical or vaginal injuries prior to insertion of the pessary (e.g., cervical erosion secondary to trauma, infection, or carcinoma; vesicovaginal or rectovaginal fistulas).~Unconscious, severely ill or mentally disabled patients, or under 16 years of age.~Patients for whom use of progesterone is contraindicated.~Patients with history of thrombosis."
"477","NCT03077724_Fish Oil to Reduce Tobacco Use iN Expectant Mothers Study_The purpose of this feasibility study is to obtain pilot data in preparation for an upcoming R01 submission. The goals of that submission will be to conduct a clinical trial of n-3 LCPUFAs for smoking cessation in pregnant women. For this proposal, the investigators will develop, test, and refine the recruitment strategy and collect data demonstrating the investigators ability to successfully recruit pregnant women who are actively smoking. The investigators will collect side effect, tolerability, and adherence data regarding the intervention. Finally, the investigators hope to gather preliminary effect size data to allow more formal estimates of sample size. The investigators hypothesize that pregnant smokers randomized to n-3 LCPUFA supplementation will have higher smoking cessation rates and less nicotine cravings compared to women allocated to placebo. The investigators intend to use this preliminary data to inform a future randomized, double-blind, placebo-controlled trial of n-3 LCPUFA supplementation for tobacco cessation._Female_18 Years_45 Years_Conditions:  tobacco use in childbirth~smoking cessation~pregnancy related_Inclusion Criteria:~≥ 18 or ≤ 45 years of age~Currently reporting daily cigarette use (≥ 1 CPD, no averages, must have daily use)~Between 6 and 36 weeks gestation~Exclusion Criteria:~Allergy to fish or seafood~Currently using fish oil supplements and unwilling to stop prior to and during the trial~Unstable psychiatric disease: Defined as requiring hospitalization or active medication changes (medication changes or up titration) within the preceding 3 months~Unstable pregnancy-related medical problems (pre-eclampsia, premature labor, threatened abortion, oligohydramnios, placenta previa, hyperemesis gravidarum, HELLP syndrome, Intrauterine growth restriction, cholestasis of pregnancy, Rh negative disease, gestational hypertension, placenta accreta)"
"478","NCT02188459_Placebo-controlled Trial of Bupropion for Smoking Cessation in Pregnant Women_Smoking during pregnancy adversely affects the health of the mother and her developing baby. Maternal smoking approximately doubles the risk of miscarriage, placental complications, preterm delivery, low birth weight and fetal and newborn death. The most common adverse effect of smoking during pregnancy is low birth weight, which sharply increases the risk of the newborn becoming ill or dying. In the US, maternal smoking is responsible for 30% of low birth weight babies, 10% of premature deliveries, and 5% of infant deaths. Fortunately, smoking cessation by pregnancy week 16, or as late as the third trimester, results in a near-normal weight infant at birth. Even reductions in smoking increase birth weight.~Despite the known risks, the majority of women who are smoking at the time of their first prenatal visit continue to smoke. Bupropion is approved by the US Food and Drug Administration (FDA) for smoking cessation in people who are not pregnant, but there are no carefully controlled studies on the use of Bupropion to help pregnant women quit smoking. Bupropion is also FDA approved to treat depression, and some pregnant women have taken it for that purpose, even though it has not been formally tested. The investigators propose to conduct a randomized, parallel-group, double-blinded, placebo-controlled, 10 week trial of Bupropion in 360 pregnant women who smoke daily and wish to quit smoking.~The study has three primary hypotheses. First, the investigators hypothesize that Bupropion treated subjects will decrease the frequency of smoking more than placebo-treated subjects. Second the investigators hypothesize that Bupropion treated subjects will have greater positive pregnancy and child health outcomes than placebo-treated subjects. Third the investigators hypothesize that Bupropion treated subjects will have decreased frequency of depressive symptoms and cigarette craving than placebo-treated subjects. These finding will provide information on the safety and efficacy of bupropion treat for smoking cessation in pregnant women._Female_18 Years_N/A_Conditions:  smoking~nicotine dependence_Inclusion Criteria:~Currently smoking on average 3 or more cigarettes per day for the preceding 7 days with a breath CO of at least 5 ppm and wants to quit smoking~Pregnant at 13-26 weeks gestation (to maximize safety and the likelihood of receiving 10 weeks of treatment)~>18 years of age~Able to speak and read English at a 6th grade level or higher, using the Slosson Oral Reading Test (SORT)~Committed to remaining in the geographic area for at least 3 months postpartum~Able to sign written informed consent and commit to completing the procedures involved in the study.~Methadone or buprenorphine-maintained women must be in methadone or buprenorphine treatment for a minimum of 2 weeks prior to entering the study. Their 2 most recent urine drug screens, consecutive and administered at least one week apart, must both be positive for methadone or buprenorphine and negative for drugs of abuse other than cannabis. Participants who screen positive for other drugs at either time point will not be enrolled in the study until they meet this criterion.~Exclusion Criteria:~During the last 90 days from screening visit, meets any criteria for a DSM-IV diagnosis of drug or alcohol dependence-excluding tobacco or cannabis dependence and, for methadone or buprenorphine maintenance patients, opioid dependence-AND either evidences ongoing use of illicit drugs other than cannabis or continues to abuse or misuse prescription drugs such as CNS stimulants.~Pregnant with triplets or higher order multiple gestations~Has an unstable psychiatric disorder (i.e., suicide risk moderate or severe, as reflected by a score of >9 on the MINI Section B (Suicidality) or a suicide attempt during the preceding year, psychiatric hospitalization within the last 3 months; current psychotic disorder based on the MINI)~Current or past Bipolar Disorder as determined by a study psychiatrist or psychologist based on assessment with the MINI, relevant information from the medical record and, when warranted, direct clinical evaluation.~Current, regular use of psychotropic medication, inhibitors of CYP2B6 (e.g., ticlopidine, clopidogrel), inducers of CYP2B6 (e.g., ritonavir, lopinavir, efavirenz), anticonvulsants (e.g., carbamazepine, phenobarbital, phenytoin), beta-blockers (e.g., metoprolol), Type 1C antiarrhythmics (e.g., propafenone and flecainide), drugs that require metabolic activation by CYP2D6 to be effective (e.g., tamoxifen), drugs that lower seizure threshold (e.g., antipsychotics, tricyclic antidepressants, theophylline, or systemic corticosteroids), levodopa or amantadine~Current unstable medical problems or potential inability to tolerate study treatment [e.g., threatened abortion: current persistent hyperemesis gravidarum (HEG) requiring intravenous fluids (to be rescreened when HEG is stabilized/resolved and no electrolyte abnormalities are evident); hypertension with evidence of end organ dysfunction or on more than 2 medications at the start of the pregnancy]; arteriovenous malformation; AIDS; laboratory evidence of hepatic impairment (e.g. viral hepatitis with serum transaminase levels more than twice the upper limit of normal) ; renal impairment (e.g., elevated creatinine or creatinine clearance <75cc/hr), metabolic disorders (e.g., hypoglycemia, hyponatremia) or end organ damage from any chronic medical condition (e.g. abnormal pulmonary function tests), glaucoma, or other significant medical problems that in the opinion of a study obstetrician makes the risk of study participation unacceptable.~Known major fetal congenital malformation-as determined by the study obstetrician-diagnosed prior to study randomization~History of seizure disorder~Current use of a smoking cessation medication in addition to the study medication, such as nicotine replacement therapy~Current or history of bulimia or anorexia nervosa~Current use of tobacco products other than cigarettes (e.g., E-cigarettes)~Current clinically significantly abnormal laboratory evaluations that are not adequately controlled by standard of care treatment.~History of severe head injury (i.e., with loss of consciousness)~Any medical condition or concomitant medication that could compromise subject safety or treatment, as determined by the Principal Investigator and/or Study Physician.~Inability to provide informed consent or judged by the Principal Investigator and/or Study Physician to be an unsuitable candidate for a clinical drug trial."
"479","NCT00343317_Prophylactic Intrapartum Antibiotics and Immunological Markers for Postpartum Morbidity in HIV Positive Women_Postpartum infections are among the leading causes of maternal mortality world-wide, particularly in under-resourced countries. Available data suggests that HIV infected women are at greater risk of postpartum complications than uninfected women. In South Africa, HIV/AIDS and related infections are now cumulatively the leading causes of maternal deaths (though indirectly), with puerperal sepsis among the 5 most common causes.~This was a prospective longitudinal cohort of HIV infected (n = 675) and uninfected (n = 648) women. These were women in whom vaginal delivery was anticipated, and were recruited at > 36 weeks of gestation during the antenatal period.~Hypothesis - HIV infected women are at increased risk of postpartum infectious morbidity and this morbidity can be reduced by use of prophylactic intrapartum antibiotics._Female_18 Years_N/A_Conditions:  puerperal sepsis_Inclusion Criteria:~Women with a pregnancy of > to 36 weeks of gestation~Women with known HIV status as documented by routine rapid HIV tests, following pre-test voluntary counselling and testing (VCT).~Women who gave informed study consent.~Over the age of 18years~Eligible for vaginal delivery~Exclusion Criteria:~Women who received antibiotic therapy less than 2 weeks prior to study enrolment.~Women planned for elective caesarean delivery.~Obstetric complications such as preterm prelabour rupture of membranes, cardiac disease, diabetes and antepartum haemorrhage."
"480","NCT04937881_Comparison of Pharmacokinetics of Tenofovir Alafenamide (TAF) With Tenofovir Disoproxil (TDF) in Pregnant and Postpartum Women and Their Infants in PrEP-PP Study_This study will establish benchmarks of TFV-DP concentrations as measures of adherence following daily dosing with Tenofovir Alafenamide (TAF) compared with Tenofovir Disoproxil Fumarate (TDF) during pregnancy and postpartum. Study Investigators will recruit from an ongoing observational cohort study in Cape Town, South Africa, PrEP-PP (recruitment ongoing through July, 2021; NIMH R01MH116771; PI Coates & Myer). Findings form this PK sub-study will be used to inform future PrEP in pregnancy and postpartum studies and develop benchmarks of the relative PK between TDF and TAF._Female_18 Years_N/A_Conditions:  hiv_Inclusion Criteria:~>18 years old~confirmed HIV-negative (confirmed with a 4th generation antigen HIV test) at time of study entry~intend on giving birth in the MOU facility~confirmed to be 14-24 weeks pregnant~without psychiatric or medical contraindications to PrEP~estimated creatinine clearance (CrCI) >60mL/min~resides close to clinic (<10km)~has a smart phone that can take video footage (with data bundle from study)~agrees to provide video phone footage of taking a pill a day for 8 weeks during pregnancy and again for 8 weeks in postpartum period~Exclusion Criteria:~Individuals not meeting the above criteria or meeting any of the following criteria will be excluded:~Concurrent enrolment in another HIV-1 vaccine or prevention trial~History of renal disease~Current clinical diagnosis of hypertension~Exhibiting psychotic symptoms~Currently or history of taking an anti-psychotic medication~Positive Hepatitis B surface antigen (HBsAg) test on screening~History of bone fracture not related to trauma~Any other medical, psychiatric or social condition which in the opinion of the investigators would affect the ability to consent and/or participate in the study~Any maternal or fetal complication, obstetric or medical, detected during routine care or study procedures that requires referral of pregnant or postpartum women/infants to secondary or tertiary obstetric or medical care."
"481","NCT02143141_Eliminating Long Acting Spinal Narcotic Use and Its Associated Side Effects for Those Who do Not Need it After Cesarean Delivery_The investigators are attempting to see if eliminating the amount of long acting spinal narcotic during cesarean section delivery will demonstrate pain scores with movement when evaluated 24 hours postoperatively as those that receive the standard dosage of spinal narcotic when combined with oral acetaminophen or placebo. The investigators also are evaluating if there are decreased side effects related to decreased narcotic usage._Female_18 Years_N/A_Conditions:  scheduled cesarean sections~postoperative pain management~side effects_Inclusion Criteria:~anticipated pain level estimated to be in the lowest 20th percentile (calculated <34.3 utilizing our standard preoperative questionnaire)~age >/= 18~not allergic to any study medications to be utilized in this study~singleton pregnancy~Exclusion Criteria:~allergies to morphine or acetaminophen~diagnosis of a chronic pain disorder~weight >300 lbs~hepatic disease"
"482","NCT04814537_A Trial to Determine the Optimal Bupivacaine Dose for Initiation of Labor Epidural Pain Relief_To estimate the dose of bupivacaine required to achieve initial effective comfort in 90% of patients (ED90) via the epidural (DPE or EPL) technique in women undergoing labor._Female_18 Years_50 Years_Conditions:  labor pain~analgesia_Inclusion Criteria:~Parturient with no major co-morbidities~Singleton, vertex gestation at term (37-42 weeks)~Less than or equal to 5 cm dilation~Desire to receive epidural labor analgesia~Numerical Rating Scale greater or equal to 5 (NRS 0-10, where 0 = no pain, and 10 = worst pain imaginable), at time of epidural labor analgesia request.~Exclusion Criteria:~Current or historical evidence of clinically significant disease or condition, including diseases of pregnancy (i.e preeclampsia, gestational diabetes)~Any contraindication to the administration of an epidural technique~History of hypersensitivity or idiosyncratic reaction to an amide local anesthetic agent~Current or historical evidence of a disease which may result in the risk of a cesarean delivery (i.e. history of uterine rupture). NB: Exception-trial of labor after cesarean delivery (TOLAC) will be eligible.~Evidence of anticipated fetal anomalies"
"483","NCT04443569_Lidocaine Patches After Cesarean Section_The aim of this study is to investigate the impact of using lidocaine patches after cesarean section on pain control and opioid use in the immediate post-operative period. The hypothesis is the use of lidocaine patches in the immediate post-operative period will lead to a decrease in the use of opioids as pain control compared to patients that do not have a lidocaine patch in place. Additionally, the a decrease in the visual analog pain score compared to women who do not use a lidocaine patch in the immediate post-operative period following cesarean delivery is anticipated._Female_18 Years_52 Years_Conditions:  postoperative pain~obstetric pain~opioid use_Inclusion Criteria:~Female~Primary or secondary cesarean delivery~Able to consent to research study~Exclusion Criteria:~3 or more prior cesarean deliveries~History of abdominoplasty~History of abdominal hernia repair with mesh~Allergy to lidocaine~Allergy to adhesives in medical tape~Women who received general anesthesia for their cesarean delivery~Women with active substance abuse~Women methadone or suboxone for a history of opiate abuse"
"484","NCT01618305_A Phase IV Randomized Trial to Evaluate the Virologic Response and Pharmacokinetics of Two Different Potent Regimens in HIV Infected Women Initiating Triple Antiretroviral Regimens Between 20 and 36 Weeks of Pregnancy for the Prevention of Mother-to-Child Transmission: NICHD P1081_HIV-infected pregnant women who begin taking antiretroviral (ARV) medications in the late stages of pregnancy need an effective medication regimen to reduce the risk of transmitting HIV to their children. This study examined the virologic response, safety, and tolerability of two different ARV medication regimens in HIV-infected pregnant women who were between 20 and 36 weeks pregnant when they entered the study._Female_16 Years_N/A_Conditions:  hiv infections_Inclusion Criteria:~Naive to antiretroviral therapy (ART) or have received ART with short course zidovudine (maximum of 8 weeks) for prevention of mother-to-child transmission in previous pregnancies~Willing and able to sign informed consent. Participant must be of an age to provide legal informed consent as defined by the country in which the participant resides. If not, the informed consent must be signed by a legal guardian/parent, as per country guidelines.~Documentation of HIV-1 infection defined as positive results from two samples collected at different time points. The same method may be used at both time points. All samples tested must be whole blood, serum, or plasma. Documentation may be abstracted from medical records to satisfy these criteria for infection. More information on this criterion can be found in the protocol.~Viable pregnancy with gestational age of greater than or equal to 20 weeks to less than or equal to 36 weeks based upon menstrual history and/or ultrasound. Note: If menstrual history is unknown or if there is a discrepancy between menstrual history and ultrasound, determination of gestational age should be based upon best available methodology at each site.~Intends to continue pregnancy~Willingness and intent to deliver at the participating clinical site and to be followed for the duration of the study at the site or associated outpatient facility~Willing to comply with the study regimen~Agrees to use two reliable methods of contraception after delivery if randomized to the efavirenz arm and is sexually active. A barrier method of contraception (condoms, diaphragm, or cervical cap) together with another reliable form of contraception must be used for 4 weeks after stopping efavirenz.~Exclusion Criteria:~Active labor defined as onset of regular contractions or cervical dilatation greater than 2 cm~Use of ART during current pregnancy~Chemotherapy for active malignancy~HIV genotypic resistance, as defined in the protocol, to efavirenz or raltegravir or to NRTIs that will be included in the ART regimen. Note: A lack of HIV drug resistance test results at the time of enrollment is not exclusionary.~Serious active opportunistic infection and/or serious bacterial infection including active tuberculosis (TB) or unstable or severe medical condition within 14 days of study entry~Active drug or alcohol use or dependence that, in the opinion of the site investigator, would interfere with adherence to study requirements~Any clinically significant diseases (other than HIV infection) or clinically significant findings during the screening medical history or physical examination that, in the investigator's opinion, would compromise the outcome of this study~Vomiting or inability to swallow medications due to an active, pre-existing condition that prevents adequate swallowing and absorption of study medication~Known allergy/sensitivity to any study drugs or their formulations or sulfonamide allergy~The following laboratory values (within 30 days of enrollment):~Hemoglobin greater than or equal to Grade 3~Absolute neutrophil count greater than or equal to Grade 2~Alanine aminotransferase (ALT) or aspartate aminotransferase (AST) greater than or equal to Grade 2~Serum creatinine greater than or equal to Grade 1~Platelet count greater than or equal to Grade 3~Evidence of pre-eclampsia (such as persistent diastolic blood pressure greater than 90 mm Hg)~Receipt of disallowed medications as described in the protocol"
"485","NCT04305756_Impact of Prophylactic Low-molecular Weight Heparin Dosing on Clotting Parameters Following Cesarean Delivery_The aim of this study is to evaluate the efficacy of two dosing regimens of low molecular weight heparin (LMWH) to reach prophylactic anti-factor Xa levels in post-cesarean delivery women. Half of participants will receive a fixed dose of LMWH, while the other half will receive a weight-based dose. The hypothesis is that the use of a weight-based dose will result in more women reaching prophylactic levels._Female_18 Years_55 Years_Conditions:  thromboembolism~postpartum dvt~thrombosis_Inclusion Criteria:~Cesarean delivery~Meet facility guidelines for postpartum venous thromboembolism (VTE) prophylaxis: Presence of 1 major, or 2 or more moderate, risk factors.~Major risk factors: history of venous thromboembolism, high risk thrombophilia, BMI ≥40, high risk medical comorbidities (heart disease, sickle cell disease, systemic lupus erythematosus, inflammatory bowel disease), cesarean hysterectomy, nephrotic range proteinuria, or cesarean intrapartum/during labor~Moderate risk factors: BMI > 30, multifetal pregnancy, postpartum hemorrhage (>1L blood loss), tobacco use, non-laboring or elective cesarean, preeclampsia, infection, preterm delivery (< 37 weeks gestational age), age > 35 years, low risk thrombophilia, family history of venous thromboembolism, stillbirth, varicose veins, prolonged labor (> 24 hours)~Exclusion Criteria:~Contraindication to anticoagulation~Plan for therapeutic anticoagulation (antepartum or postpartum)~Known renal dysfunction (Creatinine clearance < 30 mL/minute)"
"486","NCT03414359_A Randomized, Double-blind Study Comparing 3% Chloroprocaine Versus 2 % Lidocaine/ Epinephrine/ Bicarbonate/ Fentanyl for Epidural Anesthesia in Elective Cesarean Delivery_Regional anesthesia is commonly used for elective and emergency cesarean delivery. It provides numerous safety advantages when compared to general anesthesia for both the mother and fetus1. Epidurals also have the added benefit of being able to provide pain relief throughout labor and in the event of cesarean delivery, epidural analgesia can be extended to provide surgical anesthesia. Numerous studies have been performed to assess the onset times of various local anesthetics when administered through an epidural catheter. Attempts to reduce anesthetic onset time and improve the quality of intraoperative analgesia have been attempted by using different local anesthetic solutions and by the addition of other drugs to the epidural solution (such as epinephrine, fentanyl and sodium bicarbonate)._Female_18 Years_99 Years_Conditions:  surgical anesthesia, cesarean section_Inclusion Criteria:~≥ 18 years of age for the mother~Singleton pregnancy~Gestation > 36 weeks~American Society of Anesthesiologist (ASA) class II~Provides written consent~Infant of mother~Exclusion Criteria:~Patient refusal~Non-elective or urgent/emergent cesarean sections~ASA class III or above~Unable to understand English~Significant back surgery or scoliosis~Known fetal abnormality~Weight > 120 kg~Height < 150 cm~Allergy to local anesthetics~Concurrent use of sulfonamides"
